Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"🟢🟢 SPY [A+ BULL CONFLUENCE] Jan 1H | Ann: +1.28% | Pres: +1.73%",12/20/2025,,01/02/2026,,True,"Periode: Januari 1H (Post-OpEx) 2026
Signaal: A+ BULL CONFLUENCE

JAARLIJKSE CYCLUS: Avg +1.28% | WR 75.8%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg +1.73% | WR 100.0%

PRIMAIRE OPTIE STRATEGIE:
Bull Call Debit Spread (+0.60 Delta Long Call / -0.30 Delta Short Call) of Bull Put Credit Spread (20 Delta).

ALTERNATIEF:
Long SPY Calls / Call LEAPS toevoegen voor het nieuwe beursjaar.

STRIKE REGELS:
Long Call net ITM/ATM, Short Call op 3-4% OTM weerstand. Target 30-45 DTE of OpEx.

EXIT CRITERIA:
Winst nemen bij 50-60% max profit. Stop loss bij sluiting onder de 21-daagse EMA.

VOLGENDE PERIODE:
Jan 2H: Consolidatie en winstnemingen in aanloop naar tech earnings.",Options Desk,False
"🟡 SPY [NEUTRAAL / PRE-EARNINGS] Jan 2H | Ann: -0.02% | Pres: -0.82%",01/03/2026,,01/16/2026,,True,"Periode: Januari 2H (Pre-OpEx) 2026
Signaal: NEUTRAAL / PRE-EARNINGS

JAARLIJKSE CYCLUS: Avg -0.02% | WR 63.6%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg -0.82% | WR 55.6%

PRIMAIRE OPTIE STRATEGIE:
Iron Condor (16-Delta Puts / 16-Delta Calls) of Call Diagonal Spread.

ALTERNATIEF:
Cash-Secured Put op favoriete dips.

STRIKE REGELS:
Wings 5 tot 10 punten breed. Verkoop premie buiten de verwachte weekly move.

EXIT CRITERIA:
Sluiten vóór Big Tech earnings en vóór OpEx Friday.

VOLGENDE PERIODE:
Feb 1H: Vroege februari rebound (+0.85%, 67% WR Jaarlijks).",Options Desk,False
"🟢🟡 SPY [GEMATIGD BULLISH / DIVERGENTIE] Feb 1H | Ann: +0.85% | Pres: -0.39%",01/17/2026,,02/02/2026,,True,"Periode: Februari 1H (Post-OpEx) 2026
Signaal: GEMATIGD BULLISH / DIVERGENTIE

JAARLIJKSE CYCLUS: Avg +0.85% | WR 66.7%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg -0.39% | WR 33.3%

PRIMAIRE OPTIE STRATEGIE:
Bull Put Credit Spread (15-20 Delta) of OTM Call Spread.

ALTERNATIEF:
Covered Call op bestaande long aandelen.

STRIKE REGELS:
Short Put onder recente swing low; Long Put ter bescherming 5 punten lager.

EXIT CRITERIA:
Winst nemen bij 50% max winst vóór 8 februari om niet verrast te worden door Feb 2H.

VOLGENDE PERIODE:
Feb 2H: Let op voor de traditionele late-februari consolidatie.",Options Desk,False
"🟡 SPY [NEUTRAAL / CONSOLIDATIE] Feb 2H | Ann: +0.21% | Pres: +0.52%",02/03/2026,,02/20/2026,,True,"Periode: Februari 2H (Pre-OpEx) 2026
Signaal: NEUTRAAL / CONSOLIDATIE

JAARLIJKSE CYCLUS: Avg +0.21% | WR 60.6%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg +0.52% | WR 44.4%

PRIMAIRE OPTIE STRATEGIE:
Iron Condor of Short Strangles met ruime strikes.

ALTERNATIEF:
Bear Call Credit Spread bij zwak momentum.

STRIKE REGELS:
Verkoop 15-Delta strikes aan weerszijden van de range.

EXIT CRITERIA:
Sluiten bij 50% winst of op OpEx Friday.

VOLGENDE PERIODE:
Mar 1H: ⚠️ Maart start historisch stroef en volatiel.",Options Desk,False
"🔴🟡 SPY [VOLATILITEIT / STROEF] Mar 1H | Ann: -0.47% | Pres: +0.56%",02/21/2026,,03/06/2026,,True,"Periode: Maart 1H (Post-OpEx) 2026
Signaal: VOLATILITEIT / STROEF

JAARLIJKSE CYCLUS: Avg -0.47% | WR 47.1%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg +0.56% | WR 44.4%

PRIMAIRE OPTIE STRATEGIE:
Long Volatiliteit / Strangle of Bear Call Credit Spread.

ALTERNATIEF:
Cash positie aanhouden / wachten op de befaamde Mar 2H bodem.

STRIKE REGELS:
Verkoop pas puts als SPY oversold raakt op de RSI(14) < 35.

EXIT CRITERIA:
Geen agressieve naked long calls aanhouden.

VOLGENDE PERIODE:
Mar 2H: 🚀 STERK HERSTEL! Quarter-end window dressing (+1.49% Midterm, 78% WR).",Options Desk,False
"🟢🟢 SPY [STERK HERSTEL (KWARTAALEINDE)] Mar 2H | Ann: +0.21% | Pres: +1.49%",03/07/2026,,03/20/2026,,True,"Periode: Maart 2H (Pre-OpEx) 2026
Signaal: STERK HERSTEL (KWARTAALEINDE)

JAARLIJKSE CYCLUS: Avg +0.21% | WR 58.8%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg +1.49% | WR 77.8%

PRIMAIRE OPTIE STRATEGIE:
Bull Call Debit Spread (+0.55 Delta / -0.25 Delta) of ATM Long Calls.

ALTERNATIEF:
Bull Put Credit Spread (25-30 Delta agressief verkopen).

STRIKE REGELS:
Target de bovenkant van de kwartaalrange.

EXIT CRITERIA:
Sluiten op of rond de laatste handelsdag van maart.

VOLGENDE PERIODE:
Apr 1H: April seasonality instroom en tax refund liquiditeit (+0.87% Jaarlijks).",Options Desk,False
"🟢🟡 SPY [APRIL DRIFT / GEMENGD] Apr 1H | Ann: +0.87% | Pres: -0.49%",03/21/2026,,04/03/2026,,True,"Periode: April 1H (Post-OpEx) 2026
Signaal: APRIL DRIFT / GEMENGD

JAARLIJKSE CYCLUS: Avg +0.87% | WR 58.8%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg -0.49% | WR 55.6%

PRIMAIRE OPTIE STRATEGIE:
Bull Put Credit Spread (20 Delta) of Long Call Diagonal.

ALTERNATIEF:
Synthetic Long (Long ATM Call gefinancierd door Short OTM Put).

STRIKE REGELS:
Short Put onder steunniveau van eind maart.

EXIT CRITERIA:
Winst nemen vóór grote tech-rapportages in week 2.

VOLGENDE PERIODE:
Apr 2H: 🟢 Sterke pre-OpEx rally in april (+1.08% Jaarlijks, +0.77% Midterm).",Options Desk,False
"🟢 SPY [BULLISH PRE-OPEX RALLY] Apr 2H | Ann: +1.08% | Pres: +0.77%",04/04/2026,,04/17/2026,,True,"Periode: April 2H (Pre-OpEx) 2026
Signaal: BULLISH PRE-OPEX RALLY

JAARLIJKSE CYCLUS: Avg +1.08% | WR 61.8%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg +0.77% | WR 55.6%

PRIMAIRE OPTIE STRATEGIE:
Bull Call Debit Spread (+0.60 Delta / -0.30 Delta) of Bull Put Spread.

ALTERNATIEF:
Calendar Call Spread rond megacap rapportages.

STRIKE REGELS:
Target resistance van 52-week highs.

EXIT CRITERIA:
Sluiten bij 50-60% max profit vóór de start van mei.

VOLGENDE PERIODE:
May 1H: Laatste opwaartse stoot vóór de beruchte 'Sell in May'.",Options Desk,False
"🟢🟡 SPY [VROEGE MEI DRIFT] May 1H | Ann: +0.97% | Pres: -0.69%",04/18/2026,,05/01/2026,,True,"Periode: Mei 1H (Post-OpEx) 2026
Signaal: VROEGE MEI DRIFT

JAARLIJKSE CYCLUS: Avg +0.97% | WR 64.7%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg -0.69% | WR 55.6%

PRIMAIRE OPTIE STRATEGIE:
Bull Put Credit Spread (15-20 Delta) of Short-term Call Debit Spread.

ALTERNATIEF:
Covered Call verkoop op piekniveaus.

STRIKE REGELS:
Gebruik strakke looptijden (7-14 DTE) om niet vast te zitten in Mei 2H.

EXIT CRITERIA:
Winst nemen rond 10 mei. GEEN nieuwe lange posities openen na 12 mei!

VOLGENDE PERIODE:
May 2H: ⚠️ SELL IN MAY KICK-OFF! Midterm gemiddeld -1.19% (44% WR).",Options Desk,False
"🔴 SPY [SELL IN MAY (MIDTERM SELL-OFF)] May 2H | Ann: +0.19% | Pres: -1.19%",05/02/2026,,05/15/2026,,True,"Periode: Mei 2H (Pre-OpEx) 2026
Signaal: SELL IN MAY (MIDTERM SELL-OFF)

JAARLIJKSE CYCLUS: Avg +0.19% | WR 55.9%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg -1.19% | WR 44.4%

PRIMAIRE OPTIE STRATEGIE:
Bear Call Credit Spread (15-20 Delta short call) of Collar op aandelenbezit.

ALTERNATIEF:
Long Put Hedges (30-45 DTE).

STRIKE REGELS:
Short Calls boven de mei-top.

EXIT CRITERIA:
Bescherm kapitaal; winst nemen bij elke diepe dip.

VOLGENDE PERIODE:
Jun 1H: 🟢 Vroege juni herstelinflow (+1.04% Jaarlijks).",Options Desk,False
